Date,portfolio_value,daily_return,reward,cash,shares,price
2025-07-11,126340.2107044814,-0.0035154072757080735,-0.0035154072757080735,0.0,202.59166109762114,623.6199951171875
2025-07-14,126581.29527579612,0.0019082172648787754,0.0019082172648787754,0.0,202.59166109762114,624.8099975585938
2025-07-15,126040.3790029253,-0.004273271747553745,-0.004273271747553745,0.0,202.59166109762114,622.1400146484375
2025-07-16,126461.76075505449,0.0033432282214845856,0.0033432282214845856,0.0,202.59166109762114,624.219970703125
2025-07-17,127235.66238427305,0.006119649327969866,0.006119649327969866,0.0,202.59166109762114,628.0399780273438
2025-07-18,127142.47813390491,-0.0007323752525192818,-0.0007323752525192818,0.0,202.59166109762114,627.5800170898438
2025-07-21,127383.56270521962,0.0018961764380650687,0.0018961764380650687,0.0,202.59166109762114,628.77001953125
2025-07-22,127401.78903019875,0.00014308223598131248,0.00014308223598131248,0.0,202.59166109762114,628.8599853515625
2025-07-23,128485.66183619923,0.00850751637203119,0.00850751637203119,0.0,202.59166109762114,634.2100219726562
2025-07-24,128528.19817129297,0.00033105900289456586,0.00033105900289456586,0.0,202.59166109762114,634.4199829101562
2025-07-25,129071.14233920895,0.004224319453948797,0.004224319453948797,0.0,202.59166109762114,637.0999755859375
2025-07-28,129038.73311412736,-0.0002510958258695381,-0.0002510958258695381,0.0,202.59166109762114,636.9400024414062
2025-07-29,128698.380607309,-0.0026375995687848543,-0.0026375995687848543,0.0,202.59166109762114,635.260009765625
2025-07-30,128536.30975147364,-0.0012593076546150927,-0.0012593076546150927,0.0,202.59166109762114,634.4600219726562
2025-07-31,128054.1406088442,-0.0037512290773068033,-0.0037512290773068033,0.0,202.59166109762114,632.0800170898438
2025-08-01,125955.28160231044,-0.01639040328219424,-0.01639040328219424,0.0,202.59166109762114,621.719970703125
2025-08-04,127869.7752727257,0.01519978873502154,0.01519978873502154,0.0,202.59166109762114,631.1699829101562
2025-08-05,127221.47948417057,-0.005069968936540466,-0.005069968936540466,0.0,202.59166109762114,627.969970703125
2025-08-06,128195.95724465528,0.0076596952372806875,0.0076596952372806875,0.0,202.59166109762114,632.780029296875
2025-08-07,128088.57772897097,-0.0008376201402309704,-0.0008376201402309704,0.0,202.59166109762114,632.25
2025-08-08,129087.3531343566,0.007797536853746571,0.007797536853746571,0.0,202.59166109762114,637.1799926757812
2025-08-11,128832.0856629394,-0.0019774785462640583,-0.0019774785462640583,0.0,202.59166109762114,635.9199829101562
2025-08-12,130203.63516543868,0.010646024206172059,0.010646024206172059,0.0,202.59166109762114,642.6900024414062
2025-08-13,130649.33929289618,0.0034231312120524427,0.0034231312120524427,0.0,202.59166109762114,644.8900146484375
