Date,ppo_agent,buy_and_hold,moving_average,random
2025-01-29,119820.58150912491,127882.14235790183,112125.31520015668,107902.88029204824
2025-01-30,119182.90668415104,127201.56459973806,112125.31520015668,107328.63044750738
2025-01-31,118380.85738149085,126345.55320495914,112125.31520015668,106606.35528573417
2025-02-03,119174.98953708989,127193.11478489998,112125.31520015668,107321.50076276681
2025-02-04,119658.18934001573,127708.82440011635,112125.31520015668,107214.17926200404
2025-02-05,120074.07526205068,128152.69123848811,112125.31520015668,107479.22776844277
2025-02-06,118974.96976675728,126979.63763079251,112125.31520015668,106495.40999085525
2025-02-07,119782.95390790148,127841.98316157982,112773.89510894983,107218.64280651344
2025-02-10,119874.05549171807,127939.21408438064,112859.66591458124,107111.42416370692
2025-02-11,119487.8800238454,127527.05662749281,112496.0873728381,107111.42416370692
2025-02-12,120749.377688248,128873.4281929739,113683.76893055714,107111.42416370692
2025-02-13,120743.44284976399,128867.0940569655,113678.18136712805,107111.42416370692
2025-02-14,121097.92555489723,129245.42645353971,114011.9216373619,107318.45963932999
2025-02-18,121383.09998331501,129549.78749395895,114280.40918111432,107211.14117969066
2025-02-19,120878.10687328802,129010.81831209673,113804.96557112693,106658.34291201894
2025-02-20,118810.59528907095,126804.20399417735,111858.43372391345,104834.04763450308
2025-02-21,118269.95688639766,126227.1912948228,111349.4305934528,104729.21358686857
2025-02-24,117681.77933961524,125599.44100499782,110795.67005572819,104729.21358686857
2025-02-25,117741.1881606924,125662.84686748502,110851.6025898503,104677.30153246559
2025-02-26,115861.8145825925,123657.02853117569,109082.19991732873,103006.45246256815
2025-02-27,117669.89757539981,125586.75983250038,110784.48354890377,104613.92094144493
2025-02-28,115608.33291691415,123386.49255107006,108843.55064508562,104509.30702050349
2025-03-03,114239.88728732525,121925.97753263134,107555.17914598051,104509.30702050349
2025-03-04,115467.7219676587,123236.42125944978,108711.1674976914,104509.30702050349
2025-03-05,113418.03907338847,121048.83515051691,106781.42110069765,104509.30702050349
2025-03-06,114053.73158978521,121727.297229851,107379.9162857537,104989.97225118973
2025-03-07,111015.84369531475,118485.01942335886,107272.53636946795,102193.50289155639
2025-03-10,110092.98235467567,117500.06772429516,107272.53636946795,102091.30938866483
2025-03-11,110677.1952843038,118123.58665646079,107272.53636946795,102530.42805115815
2025-03-12,109201.813776776,116548.94108554511,107272.53636946795,101163.64696209092
2025-03-13,111457.46336711028,118956.35138507451,107272.53636946795,103253.2618772169
2025-03-14,112316.95126951791,119873.66586399161,107272.53636946795,104049.48428159097
2025-03-17,111102.98066197705,118578.0189885003,107272.53636946795,103945.43479730937
2025-03-18,112312.98665236363,119869.43450633225,107272.53636946795,103945.43479730937
2025-03-19,112200.67366571126,119522.79859076132,107272.53636946795,103945.43479730937
2025-03-20,112200.67366571126,119203.64069901494,107272.53636946795,103564.20476734274
2025-03-21,112200.67366571126,121338.39933960904,107272.53636946795,105418.88453791763
2025-03-24,112200.67366571126,121630.07920753084,107272.53636946795,105672.29620714876
2025-03-25,112200.67366571126,120178.02690441087,107272.53636946795,104410.75217064643
2025-03-26,112200.67366571126,119858.8690126645,107272.53636946795,104133.46757547712
2025-03-27,112200.67366571126,117445.11167664603,107272.53636946795,102036.3935470313
2025-03-28,112200.67366571126,118233.49875175905,107272.53636946795,102721.34477842104
